Player & Team,Player,Team,Pos,TOI,PDO,ZSR,G/60,d ixGF,iCF/60,iSh%,A1/60,sA1,GA/60,d xGA,CA/60,PP Sample Size,Poss Entry Rate,Poss Entry %,Poss Exits Rate,Poss Exit %,Entries Denied Rate,Denial %,Avg
DUNCAN.KEITH.CHI,DUNCAN KEITH (CHI),CHI,D,8,4,8,2,2,7,2,3,10,5,6,5,8,2,7,4,9,8,4,6
DUSTIN.BROWN.LAK,DUSTIN BROWN (LAK),LAK,F,8,7,5,4,4,7,4,7,5,8,8,8,5,6,4,8,5,,,6
DYLAN.LARKIN.DET,DYLAN LARKIN (DET),DET,F,8,4,5,4,3,7,3,8,6,3,4,5,7,8,7,9,5,,,6
ERIK.JOHNSON.COL,ERIK JOHNSON (COL),COL,D,9,6,4,8,8,6,6,6,7,4,3,5,6,8,7,4,6,6,7,6
EVGENI.MALKIN.PIT,EVGENI MALKIN (PIT),PIT,F,7,3,9,7,6,5,6,7,6,2,3,5,7,3,8,7,6,,,6
FILIP.FORSBERG.NSH,FILIP FORSBERG (NSH),NSH,F,7,7,6,6,6,6,6,9,4,7,8,6,6,5,7,5,4,,,6
GABRIEL.LANDESKOG.COL,GABRIEL LANDESKOG (COL),COL,F,8,8,5,7,8,4,7,5,5,6,6,4,6,6,5,9,6,,,6
GUSTAV.NYQUIST.DET,GUSTAV NYQUIST (DET),DET,F,7,6,6,8,7,6,7,4,3,6,6,6,7,8,5,5,6,,,6
JACCOB.SLAVIN.CAR,JACCOB SLAVIN (CAR),CAR,D,7,1,4,4,4,5,4,5,8,3,2,7,4,8,8,6,9,7,6,6
JAKE.DEBRUSK.BOS,JAKE DEBRUSK (BOS),BOS,F,4,7,10,8,8,7,6,5,3,5,5,7,3,3,5,8,7,,,6
JAMIE.BENN.DAL,JAMIE BENN (DAL),DAL,F,8,8,5,9,9,6,8,5,4,6,5,6,5,6,5,5,4,,,6
JARED.SPURGEON.MIN,JARED SPURGEON (MIN),MIN,D,8,3,4,6,6,4,6,6,9,5,3,5,5,5,5,5,7,7,5,6
JASON.ZUCKER.MIN,JASON ZUCKER (MIN),MIN,F,6,6,4,7,6,5,6,5,7,6,3,6,5,8,5,6,8,,,6
JEFF.PETRY.MTL,JEFF PETRY (MTL),MTL,D,7,2,5,5,4,6,5,6,6,3,2,5,7,5,7,7,4,5,9,6
JESSE.PULJUJARVI.EDM,JESSE PULJUJARVI (EDM),EDM,F,4,6,5,8,5,10,5,5,4,6,6,5,3,5,6,6,9,,,6
JOHN.CARLSON.WSH,JOHN CARLSON (WSH),WSH,D,9,6,5,5,3,8,4,5,7,4,6,3,6,6,6,7,7,2,10,6
JOHN.KLINGBERG.DAL,JOHN KLINGBERG (DAL),DAL,D,7,7,5,5,5,6,5,10,8,6,5,6,5,6,6,7,7,4,4,6
JOHN.TAVARES.NYI,JOHN TAVARES (NYI),NYI,F,8,7,6,8,7,6,7,8,7,3,5,3,8,5,8,3,7,,,6
JONATHAN.HUBERDEAU.FLA,JONATHAN HUBERDEAU (FLA),FLA,F,8,5,4,6,6,4,6,7,8,4,4,7,5,4,6,4,8,,,6
JOONAS.DONSKOI.SJS,JOONAS DONSKOI (SJS),SJS,F,4,4,6,7,4,5,6,7,6,6,7,7,4,8,5,7,6,,,6
JORDAN.EBERLE.NYI,JORDAN EBERLE (NYI),NYI,F,5,4,5,8,8,6,7,9,6,2,2,6,7,6,5,7,6,,,6
JORDAN.OESTERLE.CHI,JORDAN OESTERLE (CHI),CHI,D,6,7,7,6,6,8,5,6,6,5,6,6,5,8,8,4,6,5,7,6
JOSH.ANDERSON.CBJ,JOSH ANDERSON (CBJ),CBJ,F,7,5,8,7,5,9,5,4,5,6,7,6,7,8,6,3,6,,,6
JOSH.MANSON.ANA,JOSH MANSON (ANA),ANA,D,5,8,3,5,4,4,5,8,8,8,7,7,6,9,6,4,6,6,6,6
JUSTIN.FAULK.CAR,JUSTIN FAULK (CAR),CAR,D,6,3,7,5,4,7,4,3,8,4,4,6,4,8,6,4,9,5,6,6
LARS.ELLER.WSH,LARS ELLER (WSH),WSH,F,5,6,5,6,5,8,5,7,5,4,6,5,4,7,6,10,8,,,6
MARIAN.GABORIK.LAK,MARIAN GABORIK (LAK),LAK,F,5,9,7,7,6,6,7,6,4,10,9,6,2,4,9,9,3,,,6
MARK.GIORDANO.CGY,MARK GIORDANO (CGY),CGY,D,8,5,6,5,4,8,5,4,7,6,5,7,6,4,3,7,8,9,3,6
MARK.SCHEIFELE.WPG,MARK SCHEIFELE (WPG),WPG,F,9,6,6,4,4,2,5,8,9,4,5,4,6,4,7,6,8,,,6
MARK.STONE.OTT,MARK STONE (OTT),OTT,F,9,6,6,8,8,3,8,6,7,3,4,4,6,4,5,7,5,,,6
MARKUS.NUTIVAARA.CBJ,MARKUS NUTIVAARA (CBJ),CBJ,D,3,6,6,6,5,5,6,9,8,8,9,6,5,6,7,6,6,3,8,6
MATT.DUCHENE.COL,MATT DUCHENE (COL),COL,F,5,6,5,8,10,4,9,10,8,1,0,4,4,7,8,5,7,,,6
MICHAEL.RAFFL.PHI,MICHAEL RAFFL (PHI),PHI,F,4,6,5,6,6,3,7,2,5,8,7,8,10,7,5,4,6,,,6
MICHEAL.FERLAND.CGY,MICHEAL FERLAND (CGY),CGY,F,5,8,6,9,7,6,9,6,4,7,8,5,5,7,3,7,5,,,6
MIKHAIL.SERGACHEV.TBL,MIKHAIL SERGACHEV (TBL),TBL,D,3,8,10,9,7,9,7,8,4,7,6,5,5,6,5,4,6,4,4,6
MORGAN.RIELLY.TOR,MORGAN RIELLY (TOR),TOR,D,6,5,3,7,5,7,5,9,6,4,6,4,6,6,7,10,5,4,5,6
NICK.LEDDY.NYI,NICK LEDDY (NYI),NYI,D,7,3,5,5,6,4,5,8,7,1,2,3,8,9,8,6,9,4,6,6
NICO.HISCHIER.NJD,NICO HISCHIER (NJD),NJD,F,6,6,7,6,5,5,6,8,7,2,3,4,5,6,10,5,8,,,6
PATRIK.LAINE.WPG,PATRIK LAINE (WPG),WPG,F,6,7,7,7,7,8,6,5,4,6,5,4,6,5,3,10,4,,,6
REILLY.SMITH.VGK,REILLY SMITH (VGK),VGK,F,7,7,5,5,5,6,4,8,7,6,6,7,5,4,5,8,5,,,6
RICHARD.PANIK.ARI,RICHARD PANIK (ARI),ARI,F,4,8,4,1,1,7,1,10,7,8,8,10,1,10,6,2,9,,,6
RICHARD.PANIK.CHI,RICHARD PANIK (CHI),CHI,F,6,5,7,4,2,7,3,5,8,5,6,5,5,8,7,7,4,,,6
RYAN.HARTMAN.CHI,RYAN HARTMAN (CHI),CHI,F,4,6,8,5,4,7,5,6,6,6,7,5,7,8,6,7,6,,,6
RYAN.NUGENT-HOPKINS.EDM,RYAN NUGENT-HOPKINS (EDM),EDM,F,7,4,6,5,5,5,5,5,8,4,5,4,6,6,7,8,7,,,6
SEAN.MONAHAN.CGY,SEAN MONAHAN (CGY),CGY,F,7,8,7,8,8,6,8,6,7,6,7,5,6,5,6,4,6,,,6
